rank,score,super_aggressive_priority,super_aggressive_recommendation,match_category,tracker_status,job_title,company_name,location,job_link,source,source_url,date_posted,date_collected,salary_min,salary_max,industry,work_arrangement,parsing_confidence,match_reasons,gaps,missing_skills,red_flags,cv_tailoring_notes,job_description,requirements,responsibilities,raw_text,data_origin,duplicate_group_key,apply_notes
11,60,Priority 2 - Apply Today,Apply,Possible Match,,Lowongan KerjaINFO LOKER MANAGEMENT TRAINEE APRIL 2026.,PT Surya,,https://www.disnakerja.com/jobs/download/,Disnakerja - Jobs,,,,,,,,60.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,INFO LOKER MANAGEMENT TRAINEE APRIL 2026 – Download Page  – DISNAKERJA.COM Skip to content Mobile Menu Home MT / ODP BUMN INSTANSI PALM OIL MINING OIL & GAS MANUFAKTUR FRESH GRADUATE INTERN PASANG IKLAN BLOG Fresh Graduate: PT Santos Jaya Abadi (Kapal Api Global) PT Unilever Indonesia Tbk SAVORIA Group PT Partner Impian Milenial (Schoters) Seleksi Terbuka Penerimaan Pegawai Mitra Rumah Sakit Nasional Diponegoro Tahun 2026 PT Surya TOTO Indonesia Tbk PT Astra Komponen Indonesia PT Buana Lintas La...,,,,merged_duplicate,https://www.disnakerja.com/jobs/download/,Apply today. Good volume target.
12,60,Priority 2 - Apply Today,Apply,Possible Match,,INFO LOKER MANAGEMENT TRAINEE APRIL 2026,PT Surya,,https://www.disnakerja.com/jobs/,Disnakerja - Management Trainee Page 2,,,,,,,,60.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,INFO LOKER MANAGEMENT TRAINEE APRIL 2026 – DISNAKERJA.COM Skip to content Mobile Menu Home MT / ODP BUMN INSTANSI PALM OIL MINING OIL & GAS MANUFAKTUR FRESH GRADUATE INTERN PASANG IKLAN BLOG Fresh Graduate: PT Santos Jaya Abadi (Kapal Api Global) PT Unilever Indonesia Tbk SAVORIA Group PT Partner Impian Milenial (Schoters) Seleksi Terbuka Penerimaan Pegawai Mitra Rumah Sakit Nasional Diponegoro Tahun 2026 PT Surya TOTO Indonesia Tbk PT Astra Komponen Indonesia PT Buana Lintas Lautan Tbk Homepage...,,,,merged_duplicate,https://www.disnakerja.com/jobs/,Apply today. Good volume target.
13,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,PT Bank Tabungan Negara (Persero) Tbk,PT Bank,Jakarta,https://www.gokerja.id/lowongan-kerja-bank-btn-untuk-berbagai-jurusan/,Gokerja - Homepage,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"BTN Talent Scounting PT Bank Tabungan Negara (Persero)Tbk Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGAN...",,,,merged_duplicate,https://www.gokerja.id/lowongan-kerja-bank-btn-untuk-berbagai-jurusan/,Apply if the form is quick.
14,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Recruitment Bina BNI PT Bank Negara Indonesia (Persero) Tbk,PT Bank,Jakarta,https://www.gokerja.id/recruitment-bina-bni-pt-bank-negara-indonesia-persero-tbk/,Gokerja - Homepage,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Recruitment Bina BNI PT Bank Negara Indonesia (Persero) Tbk Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAG...",,,,merged_duplicate,https://www.gokerja.id/recruitment-bina-bni-pt-bank-negara-indonesia-persero-tbk/,Apply if the form is quick.
15,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Lowongan Kerja J&T Cargo Indonesia (PT Global Yimi Cargo),PT Global,Jakarta,https://www.gokerja.id/lowongan-kerja-jt-cargo-indonesia-pt-global-yimi-cargo/,Gokerja - Fresh Graduate,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Kerja J&T Cargo Indonesia (PT Global Yimi Cargo) Gokerja ID - Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LO...",,,,merged_duplicate,https://www.gokerja.id/lowongan-kerja-jt-cargo-indonesia-pt-global-yimi-cargo/,Apply if the form is quick.
16,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,PT Mayora Indah Tbk,PT Mayora,Jakarta,https://www.gokerja.id/lowongan-kerja-terbaru-hari-ini-dari-pt-mayora-indah-tbk/,Gokerja - Fresh Graduate,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Kerja Terbaru hari ini dari PT Mayora Indah Tbk Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG...",,,,merged_duplicate,https://www.gokerja.id/lowongan-kerja-terbaru-hari-ini-dari-pt-mayora-indah-tbk/,Apply if the form is quick.
17,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Puninar Logistics Management Trainee Program,PT Nindya,Jakarta,https://lokerbumn.com/puninar-logistics-management-trainee-program/19/2026/,LokerBumn - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),Requires 5+ years experience,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, EXPERIENCE_TOO_HIGH",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Puninar Logistics Management Trainee Program - Karir dan Info Skip to content Kamis, 7 Mei 2026 News Rekrutmen Priority Banking Head dan Priority Banking Manager Bank Syariah Nasional Rekrutmen Fresh Graduate Development Program PT Wana Rimba Nusantara Rekrutmen BRILiaN Banking Associate Program (BBAP) BRI Region 15 Tahun 2026 Rekrutmen PT Nindya Karya BCA Management Trainee (MT) Program 2026 Batch 1 MENU Hubungi Kami Kategori LOKER SMA/SMK LOKER S1 LOKER D3 BUMN MANAGEMENT TRAINEE FRESH GRADUAT...",,,,merged_duplicate,https://lokerbumn.com/puninar-logistics-management-trainee-program/19/2026/,Apply if the form is quick.
18,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,AlamTri Alumunium Profesional Program 2026,PT Nindya,Jakarta,https://lokerbumn.com/alamtri-alumunium-profesional-program-2026/20/2026/,LokerBumn - Management Trainee,,,,,,,,90.0,Role match: MT; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, MAJOR_RISK, NATIONWIDE_PLACEMENT, VAGUE_JD",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,,,,,merged_duplicate,https://lokerbumn.com/alamtri-alumunium-profesional-program-2026/20/2026/,Apply if the form is quick.
19,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Lowongan Kerja Fresh Graduate PT Pamapersada Nusantara,PT Pamapersada,Jakarta,https://www.gokerja.id/lowongan-kerja-fresh-graduate-pt-pamapersada-nusantara/,Gokerja - Fresh Graduate,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Kerja Fresh Graduate PT Pamapersada Nusantara Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG M...",,,,merged_duplicate,https://www.gokerja.id/lowongan-kerja-fresh-graduate-pt-pamapersada-nusantara/,Apply if the form is quick.
20,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Lowongan Kerja PT Pegadaian,PT Pegadaian,Jakarta,https://www.gokerja.id/lowongan-kerja-pt-pegadaian/,Gokerja - Management Trainee,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Kerja PT Pegadaian Gokerja ID - Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG MANAGEMENT TRAI...",,,,merged_duplicate,https://www.gokerja.id/lowongan-kerja-pt-pegadaian/,Apply if the form is quick.
21,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Lowongan Kerja PT Pulau Sambu (Sambu Group),PT Pulau,Jakarta,https://www.gokerja.id/lowongan-management-trainee-pt-pulau-sambu-sambu-group/,Gokerja - Management Trainee,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Kerja Management Trainee PT Pulau Sambu Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG MANAGEM...",,,,merged_duplicate,https://www.gokerja.id/lowongan-management-trainee-pt-pulau-sambu-sambu-group/,Apply if the form is quick.
22,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Lowongan Kerja PT Santos Jaya Abadi (Kapal Api Group),PT Santos,Jakarta,https://www.gokerja.id/lowongan-kerja-pt-santos-jaya-abadi-kapal-api-group/,Gokerja - Homepage,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Kerja PT Santos Jaya Abadi (Kapal Api Group) Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG MA...",,,,merged_duplicate,https://www.gokerja.id/lowongan-kerja-pt-santos-jaya-abadi-kapal-api-group/,Apply if the form is quick.
23,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,PT Unilever Oleochemical Indonesia,PT Unilever,Jakarta,https://www.gokerja.id/pt-unilever-oleochemical-indonesia-buka-program-management-trainee/,Gokerja - Management Trainee,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"PT Unilever Oleochemical Indonesia buka Management Trainee Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGA...",,,,merged_duplicate,https://www.gokerja.id/pt-unilever-oleochemical-indonesia-buka-program-management-trainee/,Apply if the form is quick.
24,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Lowongan Kerja PT Yamaha Music Indonesia,PT Yamaha,Jakarta,https://www.gokerja.id/lowongan-kerja-pt-yamaha-music-indonesia/,Gokerja - Fresh Graduate,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Kerja PT Yamaha Music Indonesia Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MAGANG MANAGEMENT TRAI...",,,,merged_duplicate,https://www.gokerja.id/lowongan-kerja-pt-yamaha-music-indonesia/,Apply if the form is quick.
25,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Lowongan Kerja PT Yapindo Transportama (PCP Express),PT Yapindo,Jakarta,https://www.gokerja.id/lowongan-management-development-program-pt-yapindo-transportama-pcp-express/,Gokerja - Management Trainee,,,,,,,,90.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Lowongan Kerja PT Yapindo Transportama (PCP Express) Gokerja ID - Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER S...",,,,merged_duplicate,https://www.gokerja.id/lowongan-management-development-program-pt-yapindo-transportama-pcp-express/,Apply if the form is quick.
26,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,PT Alamtri Resources Indonesia Tbk,PT Alamtri,Jakarta,https://www.disnakerja.com/pt-alamtri-resources-indonesia-tbk/,Disnakerja - Management Trainee Page 2,,,,,,,,75.0,Role match: MT; Willing to relocate (nationwide),None detected,,"MT_ODP_MATCH, MAJOR_RISK, NATIONWIDE_PLACEMENT, VAGUE_JD",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,,,,,merged_duplicate,https://www.disnakerja.com/pt-alamtri-resources-indonesia-tbk/,Apply if the form is quick.
27,50,Priority 3 - Apply If Fast,Maybe Apply,Weak Match,,Unilever Future Leadership Program PT Unilever Indonesia Tbk,PT Unilever,Jakarta,https://www.gokerja.id/unilever-future-leadership-program-pt-unilever-indonesia-tbk/,Gokerja - Management Trainee,,,,,,,,75.0,Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Willing to relocate (nationwide),None detected,,"FRESH_GRAD_ACCEPTED, MAJOR_RISK, NATIONWIDE_PLACEMENT",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Unilever Future Leadership Program PT Unilever Indonesia Tbk Skip to content Kamis, 7 Mei 2026 News Lowongan Kerja PT Yapindo Transportama (PCP Express) Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO) Lowongan Management Trainee PT Puninar Logistics Officer Development Program (ODP) Bank BNI Unilever Future Leadership Program PT Unilever Indonesia Tbk MENU Hubungi Kami Beranda Disclaimer Hubungi Kami Kategori BUMN CARA CEPAT DAPAT KERJA DIPLOMA FRESH GRADUATE INSTANSI LOKER SMA MA...",,,,merged_duplicate,https://www.gokerja.id/unilever-future-leadership-program-pt-unilever-indonesia-tbk/,Apply if the form is quick.
28,40,Priority 4 - Review Quickly,Review,Not Recommended,,Graduate Development Program – PT Cisarua Mountain Dairy Tbk,PT Cisarua,Jakarta,https://lokerbumn.com/lowongan-pekerjaan-dari-pt-cisarua-mountain-dairy-tbk/20/2026/,LokerBumn - Management Trainee,,,,,,,,90.0,Role match: Graduate Development Program; Experience match: Entry level (0-2 years); Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),Requires 5+ years experience,,"FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, EXPERIENCE_TOO_HIGH",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Graduate Development Program - PT Cisarua Mountain Dairy Tbk - Karir dan Info Skip to content Kamis, 7 Mei 2026 News Rekrutmen Priority Banking Head dan Priority Banking Manager Bank Syariah Nasional Rekrutmen Fresh Graduate Development Program PT Wana Rimba Nusantara Rekrutmen BRILiaN Banking Associate Program (BBAP) BRI Region 15 Tahun 2026 Rekrutmen PT Nindya Karya BCA Management Trainee (MT) Program 2026 Batch 1 MENU Hubungi Kami Kategori LOKER SMA/SMK LOKER S1 LOKER D3 BUMN MANAGEMENT TRAIN...",,,,merged_duplicate,https://lokerbumn.com/lowongan-pekerjaan-dari-pt-cisarua-mountain-dairy-tbk/20/2026/,Review quickly before applying.
29,40,Priority 4 - Review Quickly,Review,Not Recommended,,BCA Management Trainee (MT) Program 2026 Batch 1,PT Nindya,Jakarta,https://lokerbumn.com/lowongan-kerja-terbaru-dari-pt-bank-central-asia-tbk/22/2026/,LokerBumn - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),Requires 5+ years experience,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, EXPERIENCE_TOO_HIGH",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"BCA Management Trainee (MT) Program 2026 Batch 1 Skip to content Kamis, 7 Mei 2026 News Rekrutmen Priority Banking Head dan Priority Banking Manager Bank Syariah Nasional Rekrutmen Fresh Graduate Development Program PT Wana Rimba Nusantara Rekrutmen BRILiaN Banking Associate Program (BBAP) BRI Region 15 Tahun 2026 Rekrutmen PT Nindya Karya BCA Management Trainee (MT) Program 2026 Batch 1 MENU Hubungi Kami Kategori LOKER SMA/SMK LOKER S1 LOKER D3 BUMN MANAGEMENT TRAINEE FRESH GRADUATE MAGANG PERT...",,,,merged_duplicate,https://lokerbumn.com/lowongan-kerja-terbaru-dari-pt-bank-central-asia-tbk/22/2026/,Review quickly before applying.
30,40,Priority 4 - Review Quickly,Review,Not Recommended,,Triputra Management Trainee Program,PT Nindya,Jakarta,https://lokerbumn.com/lowongan-kerja-terbaru-dari-pt-triputra-agro-persada-tbk/18/2026/,LokerBumn - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),Requires 5+ years experience,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, EXPERIENCE_TOO_HIGH",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Triputra Management Trainee Program - Karir dan Info Skip to content Kamis, 7 Mei 2026 News Rekrutmen Priority Banking Head dan Priority Banking Manager Bank Syariah Nasional Rekrutmen Fresh Graduate Development Program PT Wana Rimba Nusantara Rekrutmen BRILiaN Banking Associate Program (BBAP) BRI Region 15 Tahun 2026 Rekrutmen PT Nindya Karya BCA Management Trainee (MT) Program 2026 Batch 1 MENU Hubungi Kami Kategori LOKER SMA/SMK LOKER S1 LOKER D3 BUMN MANAGEMENT TRAINEE FRESH GRADUATE MAGANG ...",,,,merged_duplicate,https://lokerbumn.com/lowongan-kerja-terbaru-dari-pt-triputra-agro-persada-tbk/18/2026/,Review quickly before applying.
31,40,Priority 4 - Review Quickly,Review,Not Recommended,,Samudera Management Development Program,PT Nindya,Jakarta,https://lokerbumn.com/info-lowongan-kerja-pt-samudera-indonesia-tbk/18/2026/,LokerBumn - Management Trainee,,,,,,,,90.0,Role match: Management Development Program; Experience match: Entry level (0-2 years); Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),Requires 5+ years experience,,"FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, EXPERIENCE_TOO_HIGH",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Samudera Management Development Program - Karir dan Info Skip to content Kamis, 7 Mei 2026 News Rekrutmen Priority Banking Head dan Priority Banking Manager Bank Syariah Nasional Rekrutmen Fresh Graduate Development Program PT Wana Rimba Nusantara Rekrutmen BRILiaN Banking Associate Program (BBAP) BRI Region 15 Tahun 2026 Rekrutmen PT Nindya Karya BCA Management Trainee (MT) Program 2026 Batch 1 MENU Hubungi Kami Kategori LOKER SMA/SMK LOKER S1 LOKER D3 BUMN MANAGEMENT TRAINEE FRESH GRADUATE MAG...",,,,merged_duplicate,https://lokerbumn.com/info-lowongan-kerja-pt-samudera-indonesia-tbk/18/2026/,Review quickly before applying.
32,40,Priority 4 - Review Quickly,Review,Not Recommended,,Sampoerna Graduate Trainee 2026,PT Nindya,Jakarta,https://lokerbumn.com/lowongan-pekerjaan-dari-pt-hm-sampoerna-tbk/16/2026/,LokerBumn - Management Trainee,,,,,,,,90.0,Role match: Graduate Trainee; Experience match: Entry level (0-2 years); Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),Requires 5+ years experience,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, EXPERIENCE_TOO_HIGH",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Sampoerna Graduate Trainee 2026 - Karir dan Info Skip to content Kamis, 7 Mei 2026 News Rekrutmen Priority Banking Head dan Priority Banking Manager Bank Syariah Nasional Rekrutmen Fresh Graduate Development Program PT Wana Rimba Nusantara Rekrutmen BRILiaN Banking Associate Program (BBAP) BRI Region 15 Tahun 2026 Rekrutmen PT Nindya Karya BCA Management Trainee (MT) Program 2026 Batch 1 MENU Hubungi Kami Kategori LOKER SMA/SMK LOKER S1 LOKER D3 BUMN MANAGEMENT TRAINEE FRESH GRADUATE MAGANG PERT...",,,,merged_duplicate,https://lokerbumn.com/lowongan-pekerjaan-dari-pt-hm-sampoerna-tbk/16/2026/,Review quickly before applying.
33,40,Priority 4 - Review Quickly,Review,Not Recommended,,Management Trainee – Kawan Lama Group,PT Nindya,Jakarta,https://lokerbumn.com/info-lowongan-pekerjaan-dari-kawan-lama-group/20/2026/,LokerBumn - Management Trainee,,,,,,,,90.0,Role match: Management Trainee; Experience match: Entry level (0-2 years); Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),Requires 5+ years experience,,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, EXPERIENCE_TOO_HIGH",Highlight operational leadership and D4 Bisnis Internasional background from Unpad.,"Management Trainee - Kawan Lama Group - Karir dan Info Skip to content Kamis, 7 Mei 2026 News Rekrutmen Priority Banking Head dan Priority Banking Manager Bank Syariah Nasional Rekrutmen Fresh Graduate Development Program PT Wana Rimba Nusantara Rekrutmen BRILiaN Banking Associate Program (BBAP) BRI Region 15 Tahun 2026 Rekrutmen PT Nindya Karya BCA Management Trainee (MT) Program 2026 Batch 1 MENU Hubungi Kami Kategori LOKER SMA/SMK LOKER S1 LOKER D3 BUMN MANAGEMENT TRAINEE FRESH GRADUATE MAGAN...",,,,merged_duplicate,https://lokerbumn.com/info-lowongan-pekerjaan-dari-kawan-lama-group/20/2026/,Review quickly before applying.
